name,price,href,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 980,79.99,https://pcpartpicker.com/product/m6rRsY/samsung-980-500-gb-m2-2280-nvme-solid-state-drive-mz-v8v500bam,500,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO XT,919.99,https://pcpartpicker.com/product/8zmmP6/corsair-mp600-pro-xt-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f8000gbmp600pxt,8000,0.115,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,229.99,https://pcpartpicker.com/product/CKpQzy/kingston-nv2-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s4000g,4000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,116.99,https://pcpartpicker.com/product/DN6NnQ/teamgroup-mp44-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpw002t0c101,2000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,149.4,https://pcpartpicker.com/product/nF8j4D/crucial-mx500-2tb-25-solid-state-drive-ct2000mx500ssd1,2000,0.075,SSD,2048,2.5,SATA 6.0 Gb/s
Crucial P3,225.99,https://pcpartpicker.com/product/JhzhP6/crucial-p3-4-tb-m2-2280-nvme-solid-state-drive-ct4000p3ssd8,4000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,34.99,https://pcpartpicker.com/product/WGZ2FT/kingston-a400-480gb-25-solid-state-drive-sa400s37480g,480,0.073,SSD,,2.5,SATA 6.0 Gb/s
Crucial T500,81.62,https://pcpartpicker.com/product/GfRwrH/crucial-t500-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct1000t500ssd8,1000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM7000,81.99,https://pcpartpicker.com/product/GyZ9TW/acer-predator-gm7000-1-tb-m2-2280-nvme-solid-state-drive-bl9bwwr105,1000,0.082,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M570 HS,199.99,https://pcpartpicker.com/product/srMMnQ/msi-spatium-m570-hs-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sm570n2tbh,2000,0.1,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4
Patriot Viper VP4300 Lite,62.99,https://pcpartpicker.com/product/zPQKHx/patriot-viper-vp4300-lite-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-vp4300l1tbm28h,1000,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SX8200 Pro,59.99,https://pcpartpicker.com/product/zR3H99/adata-sx8200-1-tb-m2-2280-solid-state-drive-asx8200pnp-1tt-c,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate SuperSpeed HDD,,https://pcpartpicker.com/product/vhCwrH/seagate-internal-hard-drive-stbd1000400,1000,,,64,2.5,SATA 6.0 Gb/s
Kingston A400,53.99,https://pcpartpicker.com/product/hGprxr/kingston-a400-960-gb-25-solid-state-drive-sa400s37960g,960,0.056,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,72.99,https://pcpartpicker.com/product/9wVmP6/western-digital-wd-blue-4-tb-35-5400rpm-internal-hard-drive-wd40ezaz,4000,0.018,5400,256,3.5,SATA 6.0 Gb/s
TEAMGROUP MS30,29.99,https://pcpartpicker.com/product/vY3H99/team-ms30-512-gb-m2-2280-solid-state-drive-tm8ps7512g0c101,512,0.059,SSD,,M.2-2280,M.2 SATA
