name,price,href,chipset,memory,core_clock,boost_clock,color,length
Asus DUAL EVO OC,,https://pcpartpicker.com/product/njXYcf/asus-geforce-rtx-2060-super-8-gb-dual-evo-oc-video-card-dual-rtx2060s-o8g-evo,GeForce RTX 2060 SUPER,8,1500,1725,Black,267
Palit GamingPro,,https://pcpartpicker.com/product/kxjRsY/palit-gamingpro-geforce-rtx-4080-super-16-gb-video-card-ned408s019t2-1032a,GeForce RTX 4080 SUPER,16,2210,2550,Black / Silver,329
MSI GAMING X,,https://pcpartpicker.com/product/N6LFf7/msi-geforce-rtx-3060-ti-lhr-8-gb-gaming-x-video-card-geforce-rtx-3060-ti-gaming-x-8g-lhr,GeForce RTX 3060 Ti LHR,8,1410,1770,Black / Gray,278
EVGA XC BLACK GAMING,299,https://pcpartpicker.com/product/ychKHx/evga-geforce-gtx-1660-ti-6-gb-xc-black-gaming-video-card-06g-p4-1261-kr,GeForce GTX 1660 Ti,6,1500,1770,,190
MSI GTX 1050 TI 4GT LP,271.18,https://pcpartpicker.com/product/Hnhj4D/msi-geforce-gtx-1050-ti-4gb-video-card-gtx-1050-ti-4gt-lp,GeForce GTX 1050 Ti,4,1290,1392,Black / White,182
Palit JetStream OC,,https://pcpartpicker.com/product/3rXV3C/palit-jetstream-oc-geforce-rtx-4070-super-12-gb-video-card-ned407st19k9-1043j,GeForce RTX 4070 SUPER,12,1980,2640,Black,329
Asus ProArt,831.36,https://pcpartpicker.com/product/bKhv6h/asus-proart-geforce-rtx-4070-ti-12-gb-video-card-proart-rtx4070ti-12g,GeForce RTX 4070 Ti,12,2310,2640,Black,300
MSI GAMING Z TRIO,1865.47,https://pcpartpicker.com/product/qFytt6/msi-geforce-rtx-3080-12gb-lhr-12-gb-gaming-z-trio-video-card-geforce-rtx-3080-gaming-z-trio-12g-lhr,GeForce RTX 3080 12GB LHR,12,1260,1815,Black / Gray,323
PNY VCQP400-PB,94,https://pcpartpicker.com/product/VMkwrH/pny-quadro-p400-2gb-video-card-vcqp400-pb,Quadro P400,2,1070,1170,Black,145
Gigabyte GV-R79XTX-24GC-B,,https://pcpartpicker.com/product/sj8bt6/gigabyte-gv-r79xtx-24gc-b-radeon-rx-7900-xtx-24-gb-video-card-gv-r79xtx-24gc-b,Radeon RX 7900 XTX,24,2300,2500,Black,287
NVIDIA 900-1G611-2500-000,,https://pcpartpicker.com/product/DcH48d/nvidia-titan-x-pascal-12gb-video-card-900-1g611-2500-000,Titan X (Pascal),12,1417,1531,Black / Silver,267
Sapphire NITRO+,,https://pcpartpicker.com/product/6xM323/sapphire-radeon-rx-570-8gb-nitro-video-card-11266-09-20g,Radeon RX 570,8,1168,1340,Black,260
ASRock RX 5700 XT Phantom Gaming D 8G OC,,https://pcpartpicker.com/product/Vh9tt6/asrock-radeon-rx-5700-xt-8-gb-phantom-gaming-d-oc-video-card-rx5700xt-pgd-8go,Radeon RX 5700 XT,8,1690,1945,Black / Red,287
Asus ROG STRIX GAMING OC,,https://pcpartpicker.com/product/BYrRsY/asus-geforce-rtx-3060-12-gb-rog-strix-gaming-oc-video-card-rog-strix-rtx3060-o12g-gaming,GeForce RTX 3060 12GB,12,1320,,Black / Silver,300
MSI GAMING X TRIO,699,https://pcpartpicker.com/product/HY648d/msi-geforce-gtx-1080-ti-11gb-gaming-x-trio-video-card-gtx-1080-ti-gaming-x-trio,GeForce GTX 1080 Ti,11,1569,1683,,325
Inno3D Twin X2 OC,394.17,https://pcpartpicker.com/product/nkJp99/inno3d-twin-x2-oc-geforce-rtx-4060-8-gb-video-card-n40602-08d6x-173051w,GeForce RTX 4060,8,1830,2490,White / Silver,250
Sapphire PULSE,,https://pcpartpicker.com/product/8yNxFT/sapphire-radeon-rx-6750-xt-12-gb-pulse-video-card-11318-03-20g,Radeon RX 6750 XT,12,2150,2618,Red / Black,280
Gigabyte WINDFORCE OC,,https://pcpartpicker.com/product/4XyxFT/gigabyte-geforce-gtx-1070-8gb-windforce-oc-video-card-gv-n1070wf2oc-8gd,GeForce GTX 1070,8,1556,1771,Black / Orange,280
Asus ROG STRIX GAMING OC,,https://pcpartpicker.com/product/tWVG3C/asus-geforce-rtx-3060-ti-8-gb-rog-strix-gaming-oc-video-card-rog-strix-rtx3060ti-o8g-gaming,GeForce RTX 3060 Ti,8,1410,1890,Black / Gray,318
GALAX EX Gamer 1-Click OC V2,,https://pcpartpicker.com/product/rgpQzy/galax-ex-gamer-1-click-oc-v2-geforce-rtx-4070-ti-12-gb-video-card-47iom7md8kwe,GeForce RTX 4070 Ti,12,2310,2670,White,323
XFX Speedster MERC 319 Black,1014,https://pcpartpicker.com/product/VBZ9TW/xfx-radeon-rx-6700-xt-12-gb-speedster-merc-319-black-video-card-rx-67xtytbdp,Radeon RX 6700 XT,12,2321,2622,Black,323
Gigabyte AORUS ELITE,601.89,https://pcpartpicker.com/product/BQP8TW/gigabyte-aorus-elite-geforce-rtx-4060-ti-8-gb-video-card-gv-n406taorus-e-8gd,GeForce RTX 4060 Ti,8,2310,,Black,301
Sapphire NITRO+,1289,https://pcpartpicker.com/product/RCjNnQ/sapphire-radeon-rx-6800-16-gb-nitro-video-card-11305-01-20g,Radeon RX 6800,16,1700,,Black / Silver,310
Palit StormX,,https://pcpartpicker.com/product/KHRFf7/palit-geforce-gtx-1050-ti-4gb-stormx-video-card-ne5105t018g1-1070f,GeForce GTX 1050 Ti,4,1290,1392,Black,166
Asus Turbo EVO,,https://pcpartpicker.com/product/w8drxr/asus-geforce-rtx-2070-super-8-gb-turbo-evo-video-card-turbo-rtx2070s-8g-evo,GeForce RTX 2070 SUPER,8,1635,1800,Black,268
Zotac Twin Edge OC,,https://pcpartpicker.com/product/gdxRsY/zotac-geforce-rtx-3070-8-gb-twin-edge-oc-video-card-zt-a30700j-10p,GeForce RTX 3070,8,1500,1755,White,232
XFX GTS XXX Edition,,https://pcpartpicker.com/product/XC7G3C/xfx-radeon-rx-580-8-gb-xxx-video-card-rx-580p8dfda,Radeon RX 580,8,1257,,Black,270
PNY VERTO,,https://pcpartpicker.com/product/bYpzK8/pny-verto-geforce-rtx-3050-8gb-8-gb-video-card-vcg30508dfbpb1,GeForce RTX 3050 8GB,8,1550,1777,Black,228
Sapphire PULSE OC,,https://pcpartpicker.com/product/MhQcCJ/sapphire-pulse-oc-radeon-rx-6500-xt-8-gb-video-card-11314-03-20g,Radeon RX 6500 XT,8,2310,2855,Black / Red,194
EVGA XC ULTRA GAMING,1079,https://pcpartpicker.com/product/xvCD4D/evga-geforce-rtx-2080-ti-11gb-xc-ultra-gaming-video-card-11g-p4-2383-kr,GeForce RTX 2080 Ti,11,1350,1650,Black / Clear,270
PowerColor Devil 13,,https://pcpartpicker.com/product/qL2rxr/powercolor-video-card-axr9390ii16gbd5,Radeon R9 390X2,16,1000,,Black / Red,305
EVGA SSC GAMING ACX 3.0,,https://pcpartpicker.com/product/D44NnQ/evga-geforce-gtx-1050-ti-4gb-ssc-gaming-acx-30-video-card-04g-p4-6255-kr,GeForce GTX 1050 Ti,4,1366,1480,Black,229
MSI Radeon RX Vega 56 8G,,https://pcpartpicker.com/product/7j38TW/msi-radeon-rx-vega-56-8gb-video-card-radeon-rx-vega-56-8g,Radeon RX VEGA 56,8,1156,1471,Black / Red,280
MSI GeForce RTX 2070 GAMING 8G,,https://pcpartpicker.com/product/zwQG3C/msi-geforce-rtx-2070-8-gb-gaming-video-card-rtx-2070-gaming-8g,GeForce RTX 2070,8,1410,1620,Black,307
MSI Radeon RX 6800 16G,,https://pcpartpicker.com/product/DjPgXL/msi-radeon-rx-6800-16-gb-video-card-radeon-rx-6800-16g,Radeon RX 6800,16,1700,2105,Black / Silver,267
EVGA XC3 BLACK GAMING,459.08,https://pcpartpicker.com/product/4Wstt6/evga-geforce-rtx-3070-lhr-8-gb-xc3-black-gaming-video-card-08g-p5-3751-kl,GeForce RTX 3070 LHR,8,1500,1725,Black,285
Zotac GAMING Trinity,,https://pcpartpicker.com/product/3fNxFT/zotac-gaming-trinity-geforce-rtx-4090-24-gb-video-card-zt-d40900d-10p,GeForce RTX 4090,24,2235,2520,Black / Silver,356
Gigabyte WINDFORCE OC,,https://pcpartpicker.com/product/XTJp99/gigabyte-windforce-oc-geforce-rtx-3060-ti-lhr-8-gb-video-card-gv-n306twf2oc-8gd,GeForce RTX 3060 Ti LHR,8,1665,1680,Black / Silver,198
Gigabyte OC Low Profile,,https://pcpartpicker.com/product/fpDkcf/gigabyte-geforce-gtx-1650-4-gb-oc-low-profile-video-card-gv-n1650oc-4gl,GeForce GTX 1650 G5,4,1485,1695,Black,167
Gigabyte EAGLE,,https://pcpartpicker.com/product/G2RYcf/gigabyte-eagle-geforce-rtx-3060-12gb-12-gb-video-card-gv-n3060eagle-12gd,GeForce RTX 3060 12GB,12,1320,1777,Black,242
