name,price,href,core_count,core_clock,boost_clock,micro_architecture,tdp,graphics,socket
AMD Ryzen 7 3800X,219.99,https://pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box,8,3.9,4.5,Zen 2,105,,LGA1700
Intel Core i7-12700F,218.99,https://pcpartpicker.com/product/LT3gXL/intel-core-i7-12700f-21-ghz-12-core-processor-bx8071512700f,12,2.1,4.9,Alder Lake,65,,LGA1151
Intel Core i7-6700K,165,https://pcpartpicker.com/product/tdmxFT/intel-cpu-bx80662i76700k,4,4,4.2,Skylake,91,Intel HD Graphics 530,AM4
AMD Ryzen 3 3100,74.09,https://pcpartpicker.com/product/ndwkcf/amd-ryzen-3-3100-36-ghz-quad-core-processor-100-100000284box,4,3.6,3.9,Zen 2,65,,LGA1700
Intel Core i5-14500,239.99,https://pcpartpicker.com/product/KwXV3C/intel-core-i5-14500-26-ghz-14-core-processor-bx8071514500,14,2.6,5,Raptor Lake Refresh,65,Intel UHD Graphics 770,LGA1700
Intel Core i3-12100,115.98,https://pcpartpicker.com/product/qrhFf7/intel-core-i3-12100-33-ghz-quad-core-processor-bx8071512100,4,3.3,4.3,Alder Lake,60,Intel UHD Graphics 730,LGA1200
Intel Core i7-11700K,247.93,https://pcpartpicker.com/product/VW3gXL/intel-core-i7-11700k-36-ghz-8-core-processor-bx8070811700k,8,3.6,5,Rocket Lake,125,Intel UHD Graphics 750,AM5
AMD Ryzen 7 8700F,242.9,https://pcpartpicker.com/product/CsGhP6/amd-ryzen-7-8700f-41-ghz-8-core-processor-100-100001590box,8,4.1,5,Zen 4,65,,AM4
AMD Ryzen 5 5500GT,103.79,https://pcpartpicker.com/product/VcvD4D/amd-ryzen-5-5500gt-36-ghz-6-core-processor-100-100001489box,6,3.6,4.4,Zen 3,65,Radeon Vega 7,LGA1151
Intel Core i5-6500,41.35,https://pcpartpicker.com/product/xwhj4D/intel-cpu-bx80662i56500,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,LGA1151
Intel Core i5-9600K,130,https://pcpartpicker.com/product/28qhP6/intel-core-i5-9600k-37ghz-6-core-processor-bx80684i59600k,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,AM4
AMD Ryzen 5 2600X,175,https://pcpartpicker.com/product/6mm323/amd-ryzen-5-2600x-36ghz-6-core-processor-yd260xbcafbox,6,3.6,4.2,Zen+,95,,LGA1151
Intel Core i7-8700,160,https://pcpartpicker.com/product/C9hj4D/intel-core-i7-8700-32ghz-6-core-processor-bx80684i78700,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,LGA1700
Intel Core i9-12900KS,359.24,https://pcpartpicker.com/product/sn4Ycf/intel-core-i9-12900ks-34-ghz-16-core-processor-bx8071512900ks,16,3.4,5.5,Alder Lake,150,Intel UHD Graphics 770,LGA1151
Intel Core i5-8400,75.02,https://pcpartpicker.com/product/LHYWGX/intel-core-i5-8400-28ghz-6-core-processor-bx80684i58400,6,2.8,4,Coffee Lake,65,Intel UHD Graphics 630,LGA1200
Intel Core i9-11900K,260,https://pcpartpicker.com/product/mDcG3C/intel-core-i9-11900k-35-ghz-8-core-processor-bx8070811900k,8,3.5,5.3,Rocket Lake,125,Intel UHD Graphics 750,LGA1700
Intel Core i9-13900KS,585,https://pcpartpicker.com/product/TNLFf7/intel-core-i9-13900ks-3-ghz-24-core-processor-bx8071513900ks,24,3,6,Raptor Lake,150,Intel UHD Graphics 770,LGA1700
Intel Core i3-13100F,101.31,https://pcpartpicker.com/product/9MGbt6/intel-core-i3-13100f-34-ghz-quad-core-processor-bx8071513100f,4,3.4,4.5,Raptor Lake,58,,AM4
AMD Ryzen 5 3600,,https://pcpartpicker.com/product/9twypg/amd-ryzen-5-3600-36-ghz-6-core-processor-100-100000031sbx,6,3.6,4.2,Zen 2,65,,LGA1200
Intel Core i5-10400,123.59,https://pcpartpicker.com/product/X8snTW/intel-core-i5-10400-29-ghz-6-core-processor-bx8070110400,6,2.9,4.3,Comet Lake,65,Intel UHD Graphics 630,LGA1700
Intel Core i5-13400,169.99,https://pcpartpicker.com/product/7xLFf7/intel-core-i5-13400-25-ghz-10-core-processor-bx8071513400,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730,LGA1200
