name,price,href,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Crucial CT25664AA667 2 GB,11,https://pcpartpicker.com/product/PyNp99/crucial-memory-ct25664aa667,"2,667","1,2",5.5,Green,14.993,5
G.Skill Flare X5 32 GB,89.99,https://pcpartpicker.com/product/pwxRsY/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-fx5,"5,6000","2,16",2.812,Black,12,36
Silicon Power XPOWER Zenith Gaming 32 GB,92.97,https://pcpartpicker.com/product/scFmP6/silicon-power-xpower-zenith-gaming-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-sp032gxlwu60afde,"5,6000","2,16",2.905,Black,10,30
Corsair Vengeance LPX 16 GB,41.99,https://pcpartpicker.com/product/Dkx9TW/corsair-vengeance-lpx-16gb-2-x-8gb-ddr4-3200-memory-cmk16gx4m2z3200c16,"4,3200","2,8",2.624,Black,10,16
Kingston FURY Beast 32 GB,106.99,https://pcpartpicker.com/product/qs92FT/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-5600-cl36-memory-kf556c36bbek2-32,"5,5600","2,16",3.343,Black,12.857,36
G.Skill Ripjaws V 16 GB,34.99,https://pcpartpicker.com/product/n6RgXL/gskill-ripjaws-v-16-gb-2-x-8-gb-ddr4-3600-memory-f4-3600c18d-16gvk,"4,3600","2,8",2.187,Black,10,18
Kingston FURY Beast RGB 32 GB,116.99,https://pcpartpicker.com/product/LjFmP6/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bweak2-32,"5,6000","2,16",3.656,White,10,30
Corsair Dominator Platinum RGB 128 GB,1399.99,https://pcpartpicker.com/product/NdKcCJ/corsair-dominator-platinum-rgb-128-gb-8-x-16-gb-ddr4-3200-memory-cmt128gx4m8c3200c16,"4,3200","8,16",10.937,Black,10,16
Kingston HyperX Fury 16 GB,,https://pcpartpicker.com/product/QBrYcf/kingston-hyperx-fury-16-gb-2-x-8-gb-ddr4-3200-memory-hx432c16fb3k216,"4,3200","2,8",,Black / Silver,10,16
Corsair Vengeance RGB Pro 32 GB,87.99,https://pcpartpicker.com/product/27TzK8/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3200-memory-cmw32gx4m2e3200c16,"4,3200","2,16",2.75,Black,10,16
ADATA XPG Lancer Blade RGB 32 GB,,https://pcpartpicker.com/product/Q3dG3C/adata-xpg-lancer-blade-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ax5u6000c3016g-dtlabrbk,"5,6000","2,16",,Black,10,30
G.Skill Trident Z5 RGB 64 GB,209.99,https://pcpartpicker.com/product/8F4Zxr/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-f5-6400j3239g32gx2-tz5rw,"5,6400","2,32",3.281,White / Black,10,32
G.Skill Trident Z5 Neo 32 GB,112.99,https://pcpartpicker.com/product/DgVmP6/gskill-trident-z5-neo-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5n,"5,6000","2,16",3.531,Black,10,30
G.Skill Trident Z5 Royal 32 GB,124.99,https://pcpartpicker.com/product/zfXV3C/gskill-trident-z5-royal-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-tr5s,"5,6400","2,16",3.906,Silver,10,32
Corsair Vengeance RGB 32 GB,104.99,https://pcpartpicker.com/product/Nmt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-5200-cl40-memory-cmh32gx5m2b5200c40w,"5,5200","2,16",3.281,White,15.385,40
Kingston FURY Beast 16 GB,72.59,https://pcpartpicker.com/product/vmsV3C/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-6000-cl30-memory-kf560c30bbek2-16,"5,6000","2,8",4.537,Black,10,30
