name,price,href,rpm,noise_level,color,size
NZXT Kraken Elite 240,199.91,https://pcpartpicker.com/product/GfvD4D/nzxt-kraken-elite-240-7802-cfm-liquid-cpu-cooler-rl-kn24e-b1,"500,1800","17.9,30.6",Black,240
Thermalright AXP90-X47,35.9,https://pcpartpicker.com/product/RYFbt6/thermalright-axp90-x47-4258-cfm-cpu-cooler-axp90-x47-full,2700,22.4,Orange / Brown,
Deepcool LS720 SE,,https://pcpartpicker.com/product/yBDQzy/deepcool-ls720-se-8585-cfm-liquid-cpu-cooler-ls720-se,"500,2250","28.2,32.9",Black,360
NZXT Kraken 280,134.99,https://pcpartpicker.com/product/M8rqqs/nzxt-kraken-280-9968-cfm-liquid-cpu-cooler-rl-kn280-b1,"500,1500","19.4,32.1",Black,280
NZXT Kraken Elite 280,169.99,https://pcpartpicker.com/product/wVwmP6/nzxt-kraken-elite-280-9968-cfm-liquid-cpu-cooler-rl-kn28e-b1,"500,1500","19.4,32.1",Black,280
NZXT Kraken 120,69.99,https://pcpartpicker.com/product/dWkWGX/nzxt-kraken-120-7311-cfm-liquid-cpu-cooler-rl-kr120-b1,"500,2000","21,36",Black,120
Deepcool AK400 DIGITAL,,https://pcpartpicker.com/product/2PKscf/deepcool-ak400-digital-6899-cfm-cpu-cooler-r-ak400-bkadmn-g,"500,1850",28,Black,
Noctua NH-U12S redux,54.95,https://pcpartpicker.com/product/vV7G3C/noctua-nh-u12s-redux-7075-cfm-cpu-cooler-nh-u12s-redux,"450,1700",25.1,Gray / Silver,
Corsair iCUE H150i ELITE CAPELLIX,285,https://pcpartpicker.com/product/8jFKHx/corsair-icue-h150i-elite-capellix-75-cfm-liquid-cpu-cooler-cw-9060048-ww,2400,"10,37",Black,360
ARCTIC Freezer 36 A-RGB,33.1,https://pcpartpicker.com/product/L9dG3C/arctic-freezer-36-a-rgb-cpu-cooler-acfre00124a,"200,2000",,Black,
Corsair iCUE H60x RGB ELITE,79.99,https://pcpartpicker.com/product/FYJp99/corsair-icue-h60x-rgb-elite-4773-cfm-liquid-cpu-cooler-cw-9060064-ww,1500,"7,28",Black,120
Noctua NH-U9S,59.95,https://pcpartpicker.com/product/FcfmP6/noctua-nh-u9s-4644-cfm-cpu-cooler-nh-u9s,"400,2000","16.3,22.8",,
be quiet! Pure Loop 2 FX,139.99,https://pcpartpicker.com/product/b6JgXL/be-quiet-pure-loop-2-fx-liquid-cpu-cooler-bw015,,"8,34",Black,360
NZXT Kraken Elite 240 RGB,226.99,https://pcpartpicker.com/product/d6rqqs/nzxt-kraken-elite-240-rgb-7802-cfm-liquid-cpu-cooler-rl-kr24e-w1,"500,1800","17.9,30.6",White,240
Thermalright Peerless Assassin,36.9,https://pcpartpicker.com/product/CwqPxr/thermalright-peerless-assassin-6617-cfm-cpu-cooler-peerless-assassin-120,1550,25.6,Gray,
Cooler Master Hyper H412R,22.9,https://pcpartpicker.com/product/vbfhP6/cooler-master-hyper-h412r-341-cfm-cpu-cooler-rr-h412-20pk-r2,"600,2000",29.4,Black,
Deepcool AK620,,https://pcpartpicker.com/product/9T92FT/deepcool-ak620-6899-cfm-cpu-cooler-r-ak620-bknnmt-g,"500,1850",28,Black / Silver,
ARCTIC Liquid Freezer II 420,144.9,https://pcpartpicker.com/product/bVMTwP/arctic-liquid-freezer-ii-420-728-cfm-liquid-cpu-cooler-acfre00092a,"200,1700",,Black,420
Cooler Master Hyper 212 EVO,55.97,https://pcpartpicker.com/product/hmtCmG/cooler-master-cpu-cooler-rr212e20pkr2,"600,2000","9,36",,
ID-COOLING FX360 PRO,59.99,https://pcpartpicker.com/product/kCYRsY/id-cooling-fx360-pro-825-cfm-liquid-cpu-cooler-fx360-pro,"500,1800",35.2,Black,360
Noctua NH-U12A,119.95,https://pcpartpicker.com/product/ZLtQzy/noctua-nh-u12a-6009-cfm-cpu-cooler-nh-u12a,"450,2000","18.8,22.6",Brown,
Cooler Master Hyper 212 Halo,33.99,https://pcpartpicker.com/product/vmGhP6/cooler-master-hyper-212-halo-5188-cfm-cpu-cooler-rr-s4ww-20pa-r1,"650,2050",27,White,
ARCTIC Liquid Freezer III 240 A-RGB,90.08,https://pcpartpicker.com/product/D6grxr/arctic-liquid-freezer-iii-240-a-rgb-4882-cfm-liquid-cpu-cooler-acfre00150a,"200,2000",,White,240
Asus ROG Ryujin III,329.99,https://pcpartpicker.com/product/fcGhP6/asus-rog-ryujin-iii-7007-cfm-liquid-cpu-cooler-rog-ryujin-iii-360-argb-wht,"600,2200",36.45,White,360
be quiet! Pure Rock 2 FX,47.99,https://pcpartpicker.com/product/2L3gXL/be-quiet-pure-rock-2-fx-cpu-cooler-bk033,,"7.9,24.4",Black,
ID-COOLING IS-55 Black,39.99,https://pcpartpicker.com/product/7pjBD3/id-cooling-is-55-black-546-cfm-cpu-cooler-is-55-black,"500,2000",31.2,Black,
