name,price,href,type,color,psu,side_panel,external_volume,internal_35_bays
Thermaltake Divider 300 TG Air Snow,119.99,https://pcpartpicker.com/product/XG4Ycf/thermaltake-divider-300-tg-air-snow-atx-mid-tower-case-ca-1s2-00m6wn-02,ATX Mid Tower,White,,Tempered Glass,48.2,2
Cougar DarkBlader X7,,https://pcpartpicker.com/product/PFBG3C/cougar-darkblader-x7-atx-mid-tower-case-385um300004,ATX Mid Tower,Black,,Tempered Glass,50,2
RAIJINTEK OPHION ELITE WHITE,,https://pcpartpicker.com/product/wCBG3C/raijintek-ophion-elite-white-mini-itx-tower-case-0r20b00221,Mini ITX Tower,White,,Mesh,24.9,3
be quiet! Silent Base 600,,https://pcpartpicker.com/product/3y4NnQ/be-quiet-case-bgw05,ATX Mid Tower,Black / Orange,,Acrylic,,3
Thermaltake Suppressor F31 TG,,https://pcpartpicker.com/product/nN4NnQ/thermaltake-suppressor-f31-tg-atx-mid-tower-case-ca-1e3-00m1wn-03,ATX Mid Tower,Black,,Tempered Glass,64,3
EVGA DG-77,,https://pcpartpicker.com/product/3mgzK8/evga-dg-77-atx-mid-tower-case-176-w1-3542-kr,ATX Mid Tower,White / Black,,Tempered Glass,,2
Cooler Master MasterCase SL600M Black Edition,,https://pcpartpicker.com/product/rKcRsY/cooler-master-mastercase-sl600m-black-edition-atx-mid-tower-case-mcm-sl600m-kgnn-s00,ATX Mid Tower,Black,,Tempered Glass,,4
Azza Apollo 430,,https://pcpartpicker.com/product/m7hmP6/azza-apollo-430-atx-mid-tower-case-csaz-430w-df2,ATX Mid Tower,White,,Tempered Glass,41.3,4
Jonsbo V11,,https://pcpartpicker.com/product/WL9wrH/jonsbo-v11-mini-itx-tower-case-v11-silver,Mini ITX Tower,Silver,,Mesh,13,0
Enermax K8 RGB,,https://pcpartpicker.com/product/GG4Zxr/enermax-k8-rgb-atx-mid-tower-case-eca-ek8-ww-argb,ATX Mid Tower,White,,Tempered Glass,50.4,2
Cooler Master Centurion 5,,https://pcpartpicker.com/product/3vxfrH/cooler-master-case-cact05ub,ATX Mid Tower,Black / Blue,,,42,4
Cooler Master Centurion 5,,https://pcpartpicker.com/product/Ryzv6h/cooler-master-case-cact05uw,ATX Mid Tower,Black / Silver,,,42,4
Cooler Master Elite 360,,https://pcpartpicker.com/product/BWR48d/cooler-master-case-rc360kkr1,ATX Mini Tower,Black,350,,23.2,1
Lian Li PC-Q09,,https://pcpartpicker.com/product/tFkD4D/lian-li-case-pcq09b,Mini ITX Desktop,Black,110,,5.5,0
Apevia X-Master,,https://pcpartpicker.com/product/jvyFf7/apevia-case-xmasteral500,HTPC,Black / Silver,500,,22,1
In Win BL631.300TBL,,https://pcpartpicker.com/product/znW9TW/in-win-bl631300tbl-microatx-slim-case-w300-w-power-supply-bl631fh300tb,MicroATX Slim,Black,300,,11.6,2
Cooler Master Elite 371,,https://pcpartpicker.com/product/bhzv6h/cooler-master-case-rc371kkn1,ATX Mid Tower,Black / White,,,38.7,5
In Win BL672,,https://pcpartpicker.com/product/cw4gXL/inwin-case-iwbl672300tblf,MicroATX Desktop,Black / Silver,,,11.6,2
Xigmatek Elysium,,https://pcpartpicker.com/product/sfTmP6/xigmatek-case-ccchsa0dsu02,ATX Full Tower,Black / Silver,,Acrylic,93.9,8
Cougar Evolution,,https://pcpartpicker.com/product/KJ3RsY/cougar-case-evolution,ATX Mid Tower,Black,,Acrylic,59.8,4
Fractal Design Array R2,,https://pcpartpicker.com/product/9KrG3C/fractal-design-case-arrayr2,Mini ITX Desktop,Black,300,,17.3,6
Azza Hurrican 2000,,https://pcpartpicker.com/product/txBv6h/azza-case-csaz2000,ATX Full Tower,Black,,Acrylic,82,6
In Win Dragon Rider,,https://pcpartpicker.com/product/473RsY/inwin-case-dragonrider,ATX Full Tower,Black,,,76.6,6
Cougar Solution,,https://pcpartpicker.com/product/3WphP6/cougar-case-solution,ATX Mid Tower,Black,,,40.7,6
Rosewill R5,,https://pcpartpicker.com/product/vX6BD3/rosewill-case-r5,ATX Mid Tower,Black,,,55.4,6
BitFenix Prodigy,,https://pcpartpicker.com/product/t4ckcf/bitfenix-case-bfcpro300rrxkrrp,Mini ITX Tower,Red,,,36,5
BitFenix Prodigy,,https://pcpartpicker.com/product/jMjG3C/bitfenix-case-bfcpro300bbwkbrp,Mini ITX Tower,Blue,,Acrylic,36,5
Fractal Design Define R4,,https://pcpartpicker.com/product/Hb3RsY/fractal-design-case-fdcadefr4tiw,ATX Mid Tower,Black / Gray,,Acrylic,56,8
Silverstone SG06BB-450-USB3.0,,https://pcpartpicker.com/product/fcw323/silverstone-case-sg06bb450usb30,Mini ITX Desktop,Black,450,,11.1,1
Silverstone SG07B-USB3.0,,https://pcpartpicker.com/product/p7V48d/silverstone-case-sg07busb30,Mini ITX Desktop,Black / Gray,600,,14.6,1
NZXT Phantom 630,,https://pcpartpicker.com/product/hD9KHx/nzxt-case-caph630m1,ATX Full Tower,Black,,Acrylic,92,6
Cooler Master Elite 350,,https://pcpartpicker.com/product/9k2kcf/cooler-master-case-rc350kkr500gp,ATX Mid Tower,Black,500,,33,6
Antec GX700,,https://pcpartpicker.com/product/kGphP6/antec-case-gx700,ATX Mid Tower,Black,,,44.9,5
Nanoxia Deep Silence 1,,https://pcpartpicker.com/product/mDtCmG/nanoxia-case-nxds1b,ATX Mid Tower,Black,,,57,7
Gigabyte GZ-ZA1,,https://pcpartpicker.com/product/Qbbp99/gigabyte-case-gzza1,ATX Mid Tower,Black,,,30.9,5
Apex DS-539,,https://pcpartpicker.com/product/hfqdnQ/apex-case-ds539,HTPC,Black,275,,14.3,2
Apevia X-Sniper2,,https://pcpartpicker.com/product/WKW9TW/apevia-case-xsniper2bl,ATX Mid Tower,Black / Blue,,Acrylic,,4
Cooler Master N500,,https://pcpartpicker.com/product/8CGkcf/cooler-master-case-nse500kkn1,ATX Mid Tower,Black,,,44.1,4
Aerocool XPredator X1,,https://pcpartpicker.com/product/bpdqqs/aerocool-case-xpredatorx1blackedition,ATX Mid Tower,Black,,,43.2,6
Corsair Carbide Series Air 540,,https://pcpartpicker.com/product/CXxfrH/corsair-case-cc9011034wled,ATX Mid Tower,Black / Silver,,Acrylic,62.6,2
Cooler Master 690 III,,https://pcpartpicker.com/product/zvzv6h/cooler-master-case-cms693kkn1,ATX Mid Tower,Black,,,58.5,7
Corsair Carbide Series SPEC-03,,https://pcpartpicker.com/product/6pZQzy/corsair-case-cc9011054ww,ATX Mid Tower,Black / Orange,,Acrylic,36.1,3
In Win BP655.FH200B,,https://pcpartpicker.com/product/2r2kcf/inwin-case-bp655fh200b,Mini ITX Desktop,Black,200,,8.1,1
Raidmax Cobra Z,,https://pcpartpicker.com/product/sCfp99/raidmax-case-atx502wbu,ATX Mid Tower,Black / Blue,,,59.5,3
BitFenix Neos,,https://pcpartpicker.com/product/QzmLrH/bitfenix-case-bfcneo100wwxkwrp,ATX Mid Tower,White,,,37,3
In Win GR One,,https://pcpartpicker.com/product/cRfp99/inwin-case-groneblack,ATX Full Tower,Black / Red,,Acrylic,81,8
Thermaltake Commander G41,,https://pcpartpicker.com/product/DBNp99/thermaltake-case-ca1b400m1wn00,ATX Mid Tower,Black,,Acrylic,57,6
Rosewill STEALTH,,https://pcpartpicker.com/product/VzmLrH/rosewill-case-stealth,ATX Mid Tower,Black,,Acrylic,52,8
Thermaltake Versa H25,,https://pcpartpicker.com/product/932rxr/thermaltake-case-ca1c200m1wn00,ATX Mid Tower,Black,,Acrylic,42.6,3
Nanoxia Deep Silence 5,,https://pcpartpicker.com/product/fD38TW/nanoxia-case-nads5anthracite,ATX Full Tower,Black / Gray,,,,11
Thermaltake Core V31,,https://pcpartpicker.com/product/pK8H99/thermaltake-case-ca1c800m1wn00,ATX Mid Tower,Black,,Acrylic,72,3
Lian Li PC-T80,,https://pcpartpicker.com/product/CrH48d/lian-li-case-pct80x,ATX Test Bench,Black,,,,6
Azza Nova 8000,,https://pcpartpicker.com/product/rGfmP6/azza-case-csaz8000b,ATX Full Tower,Black / Orange,,Acrylic,,6
Deepcool Tristellar,,https://pcpartpicker.com/product/xhgPxr/deepcool-case-tristellarsw,Mini ITX Desktop,Black / Silver,,Acrylic,,2
Apevia X-QPack3,,https://pcpartpicker.com/product/VmgPxr/apevia-case-xqpack3wht,MicroATX Mini Tower,White,,Acrylic,,2
In Win 805,,https://pcpartpicker.com/product/XCL7YJ/inwin-case-805red,ATX Mid Tower,Black / Red,,Tempered Glass,,2
Silverstone ML08,,https://pcpartpicker.com/product/bvfmP6/silverstone-case-sstml08b,HTPC,Black,,,,0
Lian Li PC-Q10,,https://pcpartpicker.com/product/Hz7CmG/lian-li-case-pcq10wx,Mini ITX Desktop,Black,,Acrylic,,2
BitFenix Nova,,https://pcpartpicker.com/product/vk98TW/bitfenix-case-bfxnov100kkwskrp,ATX Mid Tower,Black,,Acrylic,,4
